,Unnamed: 0.1,Unnamed: 0,TIME_PERIOD,EU27_2020_price_Goods_services_consumed_agri_prod15,EU28_price_Goods_services_consumed_agri_prod15,FR_price_Goods_services_consumed_agri_prod15,EU27_2020_price_Goods_services_contributing_agri_prod15,EU28_price_Goods_services_contributing_agri_prod15,FR_price_Goods_services_contributing_agri_prod15,EU27_2020_price_Goods_services_contributing_agri_prod00,EU28_price_Goods_services_contributing_agri_prod00,FR_price_Goods_services_contributing_agri_prod00,EU27_2007_prod_bovine,EU27_2020_prod_bovine,EU28_prod_bovine,FR_prod_bovine,EU27_2007_prod_chicken,EU27_2020_prod_chicken,EU28_prod_chicken,FR_prod_chicken
0,0,0,2015-01-01,100.97,101.14,100.83,100.37,100.42,100.25,100.37,100.42,100.25,629.59,548.7,632.72,119.82,,,,73905.69
1,1,1,2015-02-01,100.7,100.86666666666666,100.81,100.02,100.08,100.09666666666666,100.02,100.08,100.09666666666666,572.29,503.87,575.24,106.52,,,,69263.6
2,2,2,2015-03-01,100.43,100.59333333333332,100.79,99.67,99.74,99.94333333333334,99.67,99.74,99.94333333333334,652.72,587.41,656.18,135.03,,,,74002.17
3,3,3,2015-04-01,100.16,100.32,100.77,99.32,99.4,99.79,99.32,99.4,99.79,606.63,529.07,609.77,117.65,,,,74878.53
4,4,4,2015-05-01,100.08,100.16,100.38333333333333,99.51666666666668,99.56333333333332,99.87333333333332,99.51666666666668,99.56333333333332,99.87333333333332,580.77,520.83,584.22,117.08,,,,80816.07
5,5,5,2015-06-01,100.0,100.0,99.99666666666668,99.71333333333332,99.72666666666667,99.95666666666668,99.71333333333332,99.72666666666667,99.95666666666668,617.94,558.05,621.59,121.89,,,,72651.45
6,6,6,2015-07-01,99.92,99.84,99.61,99.91,99.89,100.04,99.91,99.89,100.04,626.9,546.9,630.74,112.26,,,,78906.57
7,7,7,2015-08-01,99.6,99.46333333333334,99.33333333333331,100.07666666666668,100.03,100.0,100.07666666666668,100.03,100.0,607.92,546.73,611.86,125.23,,,,71906.75
8,8,8,2015-09-01,99.28,99.08666666666666,99.05666666666669,100.24333333333333,100.17,99.96,100.24333333333333,100.17,99.96,660.31,598.25,664.25,127.73,,,,73694.64
9,9,9,2015-10-01,98.96,98.71,98.78,100.41,100.31,99.92,100.41,100.31,99.92,676.47,590.07,680.13,120.85,,,,73647.41
10,10,10,2015-11-01,98.74,98.47333333333331,98.32333333333334,100.72666666666666,100.61333333333332,100.07333333333334,100.72666666666666,100.61333333333332,100.07333333333334,667.38,594.08,670.73,126.28,,,,62972.3
11,11,11,2015-12-01,98.52,98.23666666666666,97.86666666666666,101.04333333333334,100.91666666666669,100.22666666666666,101.04333333333334,100.91666666666669,100.22666666666666,643.98,577.98,647.73,122.43,,,,77079.0
12,12,12,2016-01-01,98.3,98.0,97.41,101.36,101.22,100.38,101.36,101.22,100.38,614.81,537.5,617.9,116.7,,,,62385.59
13,13,13,2016-02-01,97.87,97.63666666666668,97.08,101.04666666666668,100.92666666666666,100.10333333333332,101.04666666666668,100.92666666666666,100.10333333333332,620.42,548.81,623.72,116.72,,,,69144.78
14,14,14,2016-03-01,97.44,97.27333333333333,96.75,100.73333333333332,100.63333333333334,99.82666666666668,100.73333333333332,100.63333333333334,99.82666666666668,659.06,586.73,662.65,130.33,,,,75756.49
15,15,15,2016-04-01,97.01,96.91,96.42,100.42,100.34,99.55,100.42,100.34,99.55,629.66,556.24,633.11,118.74,,,,72361.79
16,16,16,2016-05-01,96.85333333333334,96.77333333333333,96.09333333333332,100.54,100.45666666666666,99.72,100.54,100.45666666666666,99.72,633.01,564.79,636.84,125.37,,,,70636.34
17,17,17,2016-06-01,96.69666666666669,96.63666666666668,95.76666666666668,100.66,100.57333333333334,99.89,100.66,100.57333333333334,99.89,638.98,568.54,642.66,121.93,,,,75449.07
18,18,18,2016-07-01,96.54,96.5,95.44,100.78,100.69,100.06,100.78,100.69,100.06,590.14,521.68,594.14,108.78,,,,71878.32
19,19,19,2016-08-01,96.49333333333334,96.51666666666668,95.59666666666666,100.89666666666666,100.79,100.18333333333334,100.89666666666666,100.79,100.18333333333334,658.35,590.98,662.58,127.54,,,,77091.18
20,20,20,2016-09-01,96.44666666666669,96.53333333333332,95.75333333333332,101.01333333333334,100.89,100.30666666666669,101.01333333333334,100.89,100.30666666666669,678.93,606.22,682.74,126.39,,,,66094.53
21,21,21,2016-10-01,96.4,96.55,95.91,101.13,100.99,100.43,101.13,100.99,100.43,668.79,593.5,672.49,121.89,,,,69813.81
22,22,22,2016-11-01,97.02666666666669,97.18,96.31666666666666,101.25,101.10666666666668,100.48,101.25,101.10666666666668,100.48,697.77,616.04,701.47,125.97,,,,62608.57
23,23,23,2016-12-01,97.65333333333334,97.81,96.72333333333331,101.37,101.22333333333331,100.53,101.37,101.22333333333331,100.53,665.67,597.32,669.72,123.78,,,,71806.8
24,24,24,2017-01-01,98.28,98.44,97.13,101.49,101.34,100.58,101.49,101.34,100.58,629.43,556.13,632.56,120.8,,,,74754.04
25,25,25,2017-02-01,97.8,97.97,96.72,101.35,101.16333333333334,100.69,101.35,101.16333333333334,100.69,592.82,524.91,595.84,108.34,,,,65860.0
26,26,26,2017-03-01,97.32,97.5,96.31,101.21,100.98666666666666,100.8,101.21,100.98666666666666,100.8,685.97,610.27,689.33,128.57,,,,72282.64
27,27,27,2017-04-01,96.84,97.03,95.9,101.07,100.81,100.91,101.07,100.81,100.91,581.07,515.52,584.26,112.46,,,,67848.45
28,28,28,2017-05-01,96.64666666666668,96.84,95.66,101.21333333333332,100.96,101.07,101.21333333333332,100.96,101.07,667.64,594.07,671.24,127.12,,,,74292.2
29,29,29,2017-06-01,96.45333333333332,96.65,95.42,101.35666666666668,101.11,101.23,101.35666666666668,101.11,101.23,638.86,569.1,642.46,119.83,,,,75628.72
30,30,30,2017-07-01,96.26,96.46,95.18,101.5,101.26,101.39,101.5,101.26,101.39,606.66,537.95,610.54,107.9,,,,72860.47
31,31,31,2017-08-01,96.42666666666668,96.63,95.39666666666668,101.65,101.40666666666668,101.60666666666668,101.65,101.40666666666668,101.60666666666668,657.07,586.1,660.89,124.03,,,,76525.57
32,32,32,2017-09-01,96.59333333333332,96.8,95.61333333333332,101.8,101.55333333333334,101.82333333333334,101.8,101.55333333333334,101.82333333333334,657.41,587.06,661.31,120.81,,,,62774.84
33,33,33,2017-10-01,96.76,96.97,95.83,101.95,101.7,102.04,101.95,101.7,102.04,691.44,613.82,695.14,127.32,,,,72716.08
34,34,34,2017-11-01,97.29666666666668,97.51,95.99666666666668,102.27333333333334,102.01333333333334,102.18333333333334,102.27333333333334,102.01333333333334,102.18333333333334,716.84,636.05,720.54,127.37,,,,64395.88
35,35,35,2017-12-01,97.83333333333334,98.05,96.16333333333333,102.59666666666666,102.32666666666668,102.32666666666668,102.59666666666666,102.32666666666668,102.32666666666668,635.42,567.13,638.72,117.62,,,,68611.1
36,36,36,2018-01-01,98.37,98.59,96.33,102.92,102.64,102.47,102.92,102.64,102.47,670.6,592.97,674.0,126.38,,,,76655.48
37,37,37,2018-02-01,98.29,98.54,96.42666666666666,102.53333333333332,102.33666666666667,102.39,102.53333333333332,102.33666666666667,102.39,595.91,526.13,598.82,111.53,,,,66711.08
38,38,38,2018-03-01,98.21,98.49,96.52333333333334,102.14666666666668,102.03333333333332,102.31,102.14666666666668,102.03333333333332,102.31,677.35,603.99,681.16,128.06,,,,75485.26
39,39,39,2018-04-01,98.13,98.44,96.62,101.76,101.73,102.23,101.76,101.73,102.23,624.9,553.76,628.44,119.41,,,,67466.76
40,40,40,2018-05-01,98.38,98.75666666666666,96.93,101.91,101.86666666666667,102.39,101.91,101.86666666666667,102.39,657.37,583.47,661.12,125.56,,,,72091.54
41,41,41,2018-06-01,98.63,99.07333333333334,97.24,102.06,102.00333333333332,102.55,102.06,102.00333333333332,102.55,633.78,565.0,637.53,117.64,,,,64133.02
42,42,42,2018-07-01,98.88,99.39,97.55,102.21,102.14,102.71,102.21,102.14,102.71,644.69,572.39,648.46,117.31,,,,70597.64
43,43,43,2018-08-01,99.33,99.84333333333332,98.06,102.27,102.18666666666668,103.02333333333333,102.27,102.18666666666668,103.02333333333333,668.79,599.32,672.59,122.86,,,,70023.11
44,44,44,2018-09-01,99.78,100.29666666666668,98.57,102.33,102.23333333333332,103.33666666666667,102.33,102.23333333333332,103.33666666666667,647.81,577.36,651.37,114.89,,,,61413.33
45,45,45,2018-10-01,100.23,100.75,99.08,102.39,102.28,103.65,102.39,102.28,103.65,737.76,655.63,741.76,134.31,,,,72910.35
46,46,46,2018-11-01,100.37333333333332,100.9,99.02666666666669,102.83666666666667,102.70666666666666,103.75,102.83666666666667,102.70666666666666,103.75,715.76,633.88,719.55,125.44,,,,60446.53
47,47,47,2018-12-01,100.51666666666668,101.05,98.97333333333331,103.28333333333332,103.13333333333334,103.85,103.28333333333332,103.13333333333334,103.85,613.19,545.09,616.89,116.61,,,,66357.25
48,48,48,2019-01-01,100.66,101.2,98.92,103.73,103.56,103.95,103.73,103.56,103.95,677.65,602.84,681.06,126.13,,,,76137.89
49,49,49,2019-02-01,100.10333333333332,100.66333333333334,98.61,103.35,103.18666666666668,103.65666666666668,103.35,103.18666666666668,103.65666666666668,594.53,523.98,597.8,107.16,,,,66123.74
50,50,50,2019-03-01,99.54666666666668,100.12666666666668,98.3,102.97,102.81333333333332,103.36333333333332,102.97,102.81333333333332,103.36333333333332,637.83,565.56,641.39,117.48,,,,67671.19
51,51,51,2019-04-01,98.99,99.59,97.99,102.59,102.44,103.07,102.59,102.44,103.07,644.5,577.21,648.35,126.07,,,,72843.97
52,52,52,2019-05-01,98.70666666666666,99.26,97.61333333333332,102.68,102.51,103.02666666666666,102.68,102.51,103.02666666666666,664.42,590.27,668.29,122.09,,,,72095.42
53,53,53,2019-06-01,98.42333333333332,98.93,97.23666666666666,102.77,102.58,102.98333333333332,102.77,102.58,102.98333333333332,583.34,514.76,586.67,109.57,,,,66968.93
54,54,54,2019-07-01,98.14,98.6,96.86,102.86,102.65,102.94,102.86,102.65,102.94,649.26,579.81,653.31,117.68,,,,73374.08
55,55,55,2019-08-01,97.96,98.38333333333333,96.78,102.89666666666666,102.67,102.98333333333332,102.89666666666666,102.67,102.98333333333332,630.92,561.71,634.9,116.27,,,,70486.1
56,56,56,2019-09-01,97.78,98.16666666666669,96.7,102.93333333333334,102.69,103.02666666666666,102.93333333333334,102.69,103.02666666666666,644.02,569.43,647.94,119.56,,,,65034.8
57,57,57,2019-10-01,97.6,97.95,96.62,102.97,102.71,103.07,102.97,102.71,103.07,725.66,643.31,729.71,130.32,,,,72086.95
58,58,58,2019-11-01,97.76,97.95,96.43333333333334,103.40333333333334,102.71,103.31,103.40333333333334,102.71,103.31,689.14,610.28,693.1,116.26,,,,57312.74
59,59,59,2019-12-01,97.92,97.95,96.24666666666668,103.83666666666666,102.71,103.55,103.83666666666666,102.71,103.55,635.68,568.82,639.86,119.88,,,,69906.32
60,60,60,2020-01-01,98.08,97.95,96.06,104.27,102.71,103.79,104.27,102.71,103.79,674.18,599.18,,122.42,,,,73524.95
61,61,61,2020-02-01,97.30333333333331,97.95,95.46666666666668,104.16,102.71,103.68666666666668,104.16,102.71,103.68666666666668,608.05,536.43,,108.38,,,,64468.81
62,62,62,2020-03-01,96.52666666666669,97.95,94.87333333333332,104.05,102.71,103.58333333333334,104.05,102.71,103.58333333333334,650.98,572.65,,119.04,,,,70202.45
63,63,63,2020-04-01,95.75,97.95,94.28,103.94,102.71,103.48,103.94,102.71,103.48,576.27,509.81,,119.94,,,,73793.75
64,64,64,2020-05-01,95.71333333333334,97.95,94.2,103.98333333333332,102.71,103.32666666666668,103.98333333333332,102.71,103.32666666666668,579.44,514.24,,111.04,,,,69314.64
65,65,65,2020-06-01,95.67666666666666,97.95,94.12,104.02666666666666,102.71,103.17333333333332,104.02666666666666,102.71,103.17333333333332,657.43,583.11,,126.53,,,,73472.02
66,66,66,2020-07-01,95.64,97.95,94.04,104.07,102.71,103.02,104.07,102.71,103.02,661.46,584.16,,120.85,,,,72990.34
67,67,67,2020-08-01,96.01333333333334,97.95,94.35,104.29666666666668,102.71,103.41,104.29666666666668,102.71,103.41,622.88,552.18,,115.5,,,,69578.09
68,68,68,2020-09-01,96.38666666666668,97.95,94.66,104.52333333333333,102.71,103.8,104.52333333333333,102.71,103.8,669.31,595.35,,122.77,,,,71926.48
69,69,69,2020-10-01,96.76,97.95,94.97,104.75,102.71,104.19,104.75,102.71,104.19,691.88,615.06,,123.63,,,,70638.27
70,70,70,2020-11-01,97.91333333333334,97.95,95.99666666666668,104.94333333333331,102.71,104.64666666666666,104.94333333333331,102.71,104.64666666666666,644.28,567.79,,117.28,,,,59982.82
71,71,71,2020-12-01,99.06666666666666,97.95,97.02333333333333,105.13666666666668,102.71,105.10333333333334,105.13666666666668,102.71,105.10333333333334,,592.33,,127.21,,,,72827.02
72,72,72,2021-01-01,100.22,97.95,98.05,105.33,102.71,105.56,105.33,102.71,105.56,,518.08,,113.56,,,,64372.48
73,73,73,2021-02-01,100.8,97.95,98.62333333333332,105.26,102.71,105.71,105.26,102.71,105.71,,514.6,,109.5,,,,62825.85
74,74,74,2021-03-01,101.38,97.95,99.19666666666666,105.19,102.71,105.86,105.19,102.71,105.86,,615.53,,131.87,,,,73979.8
75,75,75,2021-04-01,101.96,97.95,99.77,105.12,102.71,106.01,105.12,102.71,106.01,,550.33,,119.8,,,,70806.26
76,76,76,2021-05-01,102.92333333333332,97.95,100.54,105.57333333333334,102.71,106.83666666666667,105.57333333333334,102.71,106.83666666666667,,542.15,,116.77,,,,70400.38
