Periode;IPC 
2002-01;83,85 (A)
2002-02;83,64 (A)
2002-03;83,68 (A)
2002-04;83,76 (A)
2002-05;83,99 (A)
2002-06;83,97 (A)
2002-07;83,51 (A)
2002-08;83,09 (A)
2002-09;83,2 (A)
2002-10;83,42 (A)
2002-11;83,45 (A)
2002-12;83,56 (A)
2003-01;84,31 (A)
2003-02;84,67 (A)
2003-03;85,04 (A)
2003-04;85,36 (A)
2003-05;85,35 (A)
2003-06;86,06 (A)
2003-07;85,74 (A)
2003-08;85,6 (A)
2003-09;86,26 (A)
2003-10;85,92 (A)
2003-11;85,82 (A)
2003-12;85,56 (A)
2004-01;86,07 (A)
2004-02;85,72 (A)
2004-03;86,26 (A)
2004-04;86,64 (A)
2004-05;86,87 (A)
2004-06;87,27 (A)
2004-07;86,4 (A)
2004-08;85,13 (A)
2004-09;85,25 (A)
2004-10;85,26 (A)
2004-11;85,43 (A)
2004-12;85,64 (A)
2005-01;85,64 (A)
2005-02;86,09 (A)
2005-03;86,83 (A)
2005-04;86,51 (A)
2005-05;86,85 (A)
2005-06;86,65 (A)
2005-07;86,01 (A)
2005-08;85,41 (A)
2005-09;85,45 (A)
2005-10;85,6 (A)
2005-11;85,89 (A)
2005-12;86,22 (A)
2006-01;86,59 (A)
2006-02;87,0 (A)
2006-03;87,11 (A)
2006-04;87,3 (A)
2006-05;87,88 (A)
2006-06;87,87 (A)
2006-07;87,66 (A)
2006-08;87,28 (A)
2006-09;87,6 (A)
2006-10;87,33 (A)
2006-11;87,87 (A)
2006-12;87,71 (A)
2007-01;87,98 (A)
2007-02;87,63 (A)
2007-03;87,58 (A)
2007-04;88,29 (A)
2007-05;88,69 (A)
2007-06;89,01 (A)
2007-07;88,4 (A)
2007-08;88,29 (A)
2007-09;88,77 (A)
2007-10;89,23 (A)
2007-11;89,83 (A)
2007-12;90,39 (A)
2008-01;91,68 (A)
2008-02;91,86 (A)
2008-03;92,26 (A)
2008-04;92,87 (A)
2008-05;93,77 (A)
2008-06;93,95 (A)
2008-07;94,02 (A)
2008-08;92,91 (A)
2008-09;92,98 (A)
2008-10;93,43 (A)
2008-11;93,27 (A)
2008-12;93,31 (A)
2009-01;93,88 (A)
2009-02;93,92 (A)
2009-03;93,79 (A)
2009-04;93,85 (A)
2009-05;94,13 (A)
2009-06;93,61 (A)
2009-07;92,96 (A)
2009-08;92,28 (A)
2009-09;92,7 (A)
2009-10;93,1 (A)
2009-11;93,16 (A)
2009-12;93,05 (A)
2010-01;93,94 (A)
2010-02;94,01 (A)
2010-03;94,34 (A)
2010-04;94,7 (A)
2010-05;94,95 (A)
2010-06;94,8 (A)
2010-07;94,29 (A)
2010-08;93,46 (A)
2010-09;93,48 (A)
2010-10;93,57 (A)
2010-11;93,99 (A)
2010-12;94,15 (A)
2011-01;94,01 (A)
2011-02;94,3 (A)
2011-03;95,1 (A)
2011-04;95,25 (A)
2011-05;96,21 (A)
2011-06;96,45 (A)
2011-07;96,31 (A)
2011-08;96,16 (A)
2011-09;96,36 (A)
2011-10;96,71 (A)
2011-11;96,98 (A)
2011-12;97,25 (A)
2012-01;97,34 (A)
2012-02;97,89 (A)
2012-03;98,58 (A)
2012-04;98,58 (A)
2012-05;99,14 (A)
2012-06;99,54 (A)
2012-07;98,93 (A)
2012-08;98,45 (A)
2012-09;98,66 (A)
2012-10;99,5 (A)
2012-11;99,51 (A)
2012-12;99,49 (A)
2013-01;99,43 (A)
2013-02;99,52 (A)
2013-03;100,0 (A)
2013-04;100,3 (A)
2013-05;100,92 (A)
2013-06;101,36 (A)
2013-07;100,69 (A)
2013-08;100,25 (A)
2013-09;99,79 (A)
2013-10;99,69 (A)
2013-11;99,78 (A)
2013-12;99,88 (A)
2014-01;99,8 (A)
2014-02;99,67 (A)
2014-03;99,86 (A)
2014-04;99,7 (A)
2014-05;100,03 (A)
2014-06;99,82 (A)
2014-07;99,28 (A)
2014-08;98,75 (A)
2014-09;99,18 (A)
2014-10;99,54 (A)
2014-11;99,53 (A)
2014-12;99,46 (A)
2015-01;99,55 (A)
2015-02;99,74 (A)
2015-03;99,95 (A)
2015-04;99,97 (A)
2015-05;100,42 (A)
2015-06;100,18 (A)
2015-07;99,65 (A)
2015-08;99,56 (A)
2015-09;100,06 (A)
2015-10;100,55 (A)
2015-11;100,34 (A)
2015-12;100,03 (A)
2016-01;99,93 (A)
2016-02;99,9 (A)
2016-03;100,36 (A)
2016-04;100,36 (A)
2016-05;101,39 (A)
2016-06;100,76 (A)
2016-07;100,87 (A)
2016-08;101,04 (A)
2016-09;100,53 (A)
2016-10;100,47 (A)
2016-11;100,62 (A)
2016-12;100,75 (A)
2017-01;101,2 (A)
2017-02;101,46 (A)
2017-03;101,17 (A)
2017-04;101,11 (A)
2017-05;101,84 (A)
2017-06;101,55 (A)
2017-07;101,62 (A)
2017-08;101,67 (A)
2017-09;101,6 (A)
2017-10;102,02 (A)
2017-11;102,12 (A)
2017-12;102,1 (A)
2018-01;102,43 (A)
2018-02;102,29 (A)
2018-03;102,66 (A)
2018-04;102,72 (A)
2018-05;103,64 (A)
2018-06;103,46 (A)
2018-07;103,59 (A)
2018-08;103,88 (A)
2018-09;104,46 (A)
2018-10;104,3 (A)
2018-11;104,11 (A)
2018-12;104,7 (A)
2019-01;105,23 (A)
2019-02;105,41 (A)
2019-03;105,2 (A)
2019-04;105,27 (A)
2019-05;105,99 (A)
2019-06;106,1 (A)
2019-07;106,66 (A)
2019-08;107,15 (A)
2019-09;106,62 (A)
2019-10;106,15 (A)
2019-11;106,28 (A)
2019-12;106,87 (A)
